,Title,Subtitle,CELEX number,Current consolidated version,Latest consolidated version,LP_Legal basis,ELI,Form,EUROVOC descriptor,ECLI identifier,Subject matter,Directory code,Case-Law directory code (before Lisbon),Case-Law directory code (after Lisbon),Legal basis,Transposed legal act(s),Rectified by,Type of procedure,Collection of the document,Date of document,Date of publication,Author,Date of effect,Date of end of validity,Date of transposition,Applicant/Appellant,Defendant/Other parties to the proceedings,In force indicator,Publication Reference,Unnamed: 29,Unnamed: 6
3,"Protocol of Agreement on energy problems, reached between the Governments of the Member States of the European Communities at the 94th meeting of the Special Council of Ministers of the European Coal and Steel Community held on 21 April 1964 in Luxembourg",/* Unofficial translation */,41964A0430(01),,,,http://data.europa.eu/eli/prot/1964/430/oj,Protocol to the agreement,"energy production, energy market, energy policy, development plan, protocol to an agreement, energy resources",,Energy,"Energy, General principles and programmes, General",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1964-04-21,"1964-04-30, 1995-01-01",Representatives of the Governments of the Member States,,No end date,,,,True,"OJ 69, 30/04/1964, p. 1099–1100
		 (DE, FR, IT, NL), This document has been published in a special edition(s) (
           		FI, SV)
		",,
0,Special Report No 25/98 concerning operations undertaken by the European Union in the field of nuclear safety in central and eastern Europe (CEEC) and in the new independent States (NIS) (1990 to 1997 period) together with the Commission's replies (submitted pursuant to Article 188c(4)(2) of the EC Treaty),,31999Y0209(01),,,,,Special report,"European Court of Auditors, nuclear safety, Central and Eastern European Countries, activity report, Commonwealth of Independent States, EU programme",,"Assistance, External relations, Nuclear common market, Safety at work and elsewhere, Financial provisions","Energy, External relations, General, financial and institutional matters, Environment, consumers and health protection, Nuclear energy, Action in favour of countries in transition, Financial and budgetary provisions, Environment, Safeguards, Specific aid actions, Financial control, Pollution and nuisances, Nuclear safety and radioactive waste",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E188C,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1998-11-12,1999-02-09,European Court of Auditors,1998-11-12,No end date,,,,True,"OJ C 35, 09/02/1999, p. 1–52
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
1,Special Report No 17/98 on support for renewable energy sources in the shared-cost actions of the Joule-Thermie Programme and the pilot actions of the Altener Programme together with the Commission's replies (Submitted pursuant to Article 188c(4)(2) of the EC Treaty),,31998Y1120(03),,,,,Special report,"EU financing, EU programme, project evaluation, EU aid, renewable energy, European Commission",,"Environment, Research and technological development, Financial provisions, Energy","Energy, General, financial and institutional matters, General principles and programmes, Financial and budgetary provisions, Financial control",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E188C,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1998-09-23,1998-11-20,European Court of Auditors,1998-09-23,No end date,,,,True,"OJ C 356, 20/11/1998, p. 39–68
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
0,Commission Implementing Regulation (EU) 2023/1162 of 6 June 2023 on interoperability requirements and non-discriminatory and transparent procedures for access to metering and consumption data (Text with EEA relevance),C/2023/3477,32023R1162,,,,http://data.europa.eu/eli/reg_impl/2023/1162/oj,Implementing regulation,"smart technology, measuring equipment, administrative transparency, electrical energy, consumer information, data processing, access to information, energy consumption, systems interconnection, technical specification",,"Consumer protection, Energy","Environment, consumers and health protection, Energy, Consumers, Electricity, Consumer information, education and representation",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32019L0944,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2023-06-06,2023-06-15,"European Commission, Directorate-General for Energy","2023-07-05, 2025-01-05",No end date,,,,True,"OJ L 154, 15/06/2023, p. 10–40
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
1,Commission Implementing Regulation (EU) 2023/736 of 31 March 2023 on the definition of the technical details of the application of the market correction mechanism to derivatives linked to virtual trading points in the Union other than the TTF,C/2023/2194,32023R0736,,,,http://data.europa.eu/eli/reg_impl/2023/736/oj,Implementing regulation,"natural gas, price formation, energy demand, economy, technical specification, electronic commerce, commodities exchange, price of energy, consumer protection, EU energy policy",,"Energy, Prices","Energy, Oil and gas, Supplies and stocks",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022R2578,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2023-03-31,2023-04-05,"Directorate-General for Energy, European Commission","2023-05-01, 2023-04-12",No end date,,,,True,"OJ L 96, 05/04/2023, p. 4–8
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
2,"Commission Implementing Regulation (EU) 2022/2299 of 15 November 2022 laying down rules for the application of Regulation (EU) 2018/1999 of the European Parliament and of the Council as regards the structure, format, technical details and process for the integrated national energy and climate progress reports",C/2022/8251,32022R2299,,,,http://data.europa.eu/eli/reg_impl/2022/2299/oj,Implementing regulation,"application of EU law, greenhouse gas, adaptation to climate change, reduction of gas emissions, EU energy policy, activity report, energy efficiency, technical specification, renewable energy, energy research",,"Environment, Energy","Energy, General principles and programmes",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018R1999,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2022-11-15,2022-11-25,"European Commission, Directorate-General for Energy",2022-12-15,No end date,,,,True,"OJ L 306, 25/11/2022, p. 1–98
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
3,Commission Implementing Regulation (EU) 2022/2301 of 23 November 2022 setting the filling trajectory with intermediary targets for 2023 for each Member State with underground gas storage facilities on its territory and directly interconnected to its market area (Text with EEA relevance),C/2022/8593,32022R2301,,,,http://data.europa.eu/eli/reg_impl/2022/2301/oj,Implementing regulation,"storage of hydrocarbons, natural gas, energy market, security of supply, EU Member State, EU energy policy, gas supply",,Energy,"Energy, Oil and gas, Supplies and stocks",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32017R1938,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2022-11-23,2022-11-25,"Directorate-General for Energy, European Commission",2022-11-26,No end date,,,,True,"OJ L 305, 25/11/2022, p. 5–8
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
4,Commission Implementing Regulation (EU) 2022/996 of 14 June 2022 on rules to verify sustainability and greenhouse gas emissions saving criteria and low indirect land-use change-risk criteria (Text with EEA relevance),C/2022/3740,32022R0996,,,,http://data.europa.eu/eli/reg_impl/2022/996/oj,Implementing regulation,"energy saving, audit, reduction of gas emissions, bioenergy, greenhouse gas, land use, biomass, renewable energy, biofuel, energy crop",,"Environment, Energy","Energy, Environment, consumers and health protection, Other sources of energy, Environment, Space, environment and natural resources",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018L2001,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2022-06-14,2022-06-27,"European Commission, Directorate-General for Energy","2023-12-30, 2022-06-30",No end date,,,,True,"OJ L 168, 27/06/2022, p. 1–62
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
5,Commission Implementing Regulation (EU) 2020/2156 of 14 October 2020 detailing the technical modalities for the effective implementation of an optional common Union scheme for rating the smart readiness of buildings (Text with EEA relevance),C/2020/6929,32020R2156,,,,http://data.europa.eu/eli/reg_impl/2020/2156/oj,Implementing regulation,"building regulations, energy saving, environmental standard, energy efficiency, technical specification, energy consumption",,"Environment, Energy","Energy, General principles and programmes, Rational utilisation and conservation of energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32010L0031,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2020-10-14,2020-12-21,"European Commission, Directorate-General for Energy",2021-01-10,No end date,,,,True,"OJ L 431, 21/12/2020, p. 25–29
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
6,Commission Implementing Regulation (EU) 2020/1294 of 15 September 2020 on the Union renewable energy financing mechanism (Text with EEA relevance),C/2020/6123,32020R1294,,,,http://data.europa.eu/eli/reg_impl/2020/1294/oj,Implementing regulation,"EU aid, environmental cooperation, EU Member State, renewable energy, EU energy policy, reduction of gas emissions, renewable resources, energy cooperation, EU programme, allocation of resources",,"Energy, Environment","Energy, Environment, consumers and health protection, General principles and programmes, Environment, Space, environment and natural resources",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018R1999,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2020-09-15,2020-09-17,"Directorate-General for Energy, European Commission",2020-10-07,No end date,,,,True,"OJ L 303, 17/09/2020, p. 1–17
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
7,Commission Implementing Regulation (EU) 2020/1001 of 9 July 2020 laying down detailed rules for the application of Directive 2003/87/EC of the European Parliament and of the Council as regards the operation of the Modernisation Fund supporting investments to modernise the energy systems and to improve energy efficiency of certain Member States,C/2020/4541,32020R1001,,,,http://data.europa.eu/eli/reg_impl/2020/1001/oj,Implementing regulation,"fund (EU), energy efficiency, modernisation aid, investment aid, EU Member State, investment, distribution of EU funding, energy cooperation, energy saving",,"Energy, Protocol on Ireland/Northern Ireland, Investments, Annex 4 Provisions of Union law referred to in Article 9","Energy, General principles and programmes",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32003L0087,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2020-07-09,2020-07-10,"Directorate-General for Climate Action, European Commission",2020-07-30,No end date,,,,True,"OJ L 221, 10/07/2020, p. 107–121
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
8,Commission Implementing Regulation (EU) 2019/803 of 17 May 2019 concerning the technical requirements regarding the content of quality reports on European statistics on natural gas and electricity prices pursuant to Regulation (EU) 2016/1952 of the European Parliament and of the Council (Text with EEA relevance.),C/2019/3642,32019R0803,,,,http://data.europa.eu/eli/reg_impl/2019/803/oj,Implementing regulation,"EU statistics, publishing of prices, electrical energy, report, natural gas, technical specification, price of energy, data collection, exchange of information",,"Internal market - Principles, Information and verification","Energy, Energy, Energy, Statistics, Oil and gas, Electricity, Other measures relating to oil or gas",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32016R1952,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2019-05-17,2019-05-20,"European Commission, Eurostat",2019-06-09,No end date,,,,True,"OJ L 132, 20/05/2019, p. 23–27
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
9,Commission Implementing Regulation (EU) 2017/2169 of 21 November 2017 concerning the format and arrangements for the transmission of European Statistics on natural gas and electricity prices pursuant to Regulation (EU) 2016/1952 of the European Parliament and of the Council (Text with EEA relevance. ),C/2017/7667,32017R2169,,,,http://data.europa.eu/eli/reg_impl/2017/2169/oj,Implementing regulation,"EU statistics, publishing of prices, electrical energy, natural gas, technical specification, price of energy, data collection, exchange of information",,"Information and verification, Internal market - Principles, Energy","Energy, Energy, Energy, Electricity, Oil and gas, Statistics, Other measures relating to oil or gas",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32016R1952,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2017-11-21,2017-11-22,"European Commission, Eurostat",2017-12-12,No end date,,,,True,"OJ L 306, 22/11/2017, p. 9–18
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
10,Commission Implementing Regulation (EU) 2016/1055 of 29 June 2016 laying down implementing technical standards with regard to the technical means for appropriate public disclosure of inside information and for delaying the public disclosure of inside information in accordance with Regulation (EU) No 596/2014 of the European Parliament and of the Council (Text with EEA relevance),C/2016/3926,32016R1055,,,,http://data.europa.eu/eli/reg_impl/2016/1055/oj,Implementing regulation,"market supervision, stock-exchange transaction, tradeable emission permit, disclosure of information, financial instrument, technical specification, confidentiality, data transmission, price of energy, exchange of information",,"Energy, Internal market - Principles, Freedom of establishment","Energy, Right of establishment and freedom to provide services, General principles and programmes, Sectoral application, Service activities, Stock exchanges and other securities markets",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014R0596,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2016-06-29,2016-06-30,European Commission,"2016-07-01, 2016-07-03",No end date,,,,True,"OJ L 173, 30/06/2016, p. 47–51
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
11,Commission Implementing Regulation (EU) No 1348/2014 of 17 December 2014 on data reporting implementing Article 8(2) and Article 8(6) of Regulation (EU) No 1227/2011 of the European Parliament and of the Council on wholesale energy market integrity and transparency  Text with EEA relevance,,32014R1348,,,,http://data.europa.eu/eli/reg_impl/2014/1348/oj,Implementing regulation,"market supervision, wholesale trade, administrative transparency, disclosure of information, price of energy",,"Protocol on Ireland/Northern Ireland, Energy, Annex 4 Provisions of Union law referred to in Article 9","Energy, General principles and programmes, General",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32011R1227,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2014-12-17,2014-12-18,European Commission,"2015-10-07, 2015-01-07, 2016-04-07",No end date,,,,True,"OJ L 363, 18/12/2014, p. 121–142
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
12,"Commission Implementing Regulation (EU) No 1113/2014 of 16 October 2014 establishing the form and technical details of the notification referred to in Articles 3 and 5 of Regulation (EU) No 256/2014 of the European Parliament and of the Council and repealing Commission Regulations (EC) No 2386/96 and (EU, Euratom) No 833/2010",,32014R1113,,,,http://data.europa.eu/eli/reg_impl/2014/1113/oj,Implementing regulation,"exchange of information, energy market, form, technical specification, disclosure of information, energy industry",,"Energy, Information and verification","Energy, Statistics",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014R0256,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2014-10-16,2014-10-22,European Commission,2014-11-11,No end date,,,,True,"OJ L 302, 22/10/2014, p. 26–45
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
0,Information from the Commission - Appointment of a new member of the Committee of Experts on the Transit of Electricity between Grids set up under Commission Decision 92/167/EEC (Text with EEA relevance),,31999Y0917(02),,,,,Communication,"electrical energy, transit, self-employed person, energy transport, committee (EU)",,"Energy, Provisions governing the Institutions","Energy, General principles and programmes",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1999-09-13,1999-09-17,European Commission,1999-09-13,No end date,,,,True,"OJ C 263, 17/09/1999, p. 3–3
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
